variant,variant_description,method,month,remaining_periods,state_dimension,train_states,train_paths_per_state,train_scenarios_used,validation_states,benchmark_paths_per_state,steps_per_period,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
average_clipped,Average the three individually clipped returns,local_full_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.6502094852782135,0.6354432344870808,0.5031797625509822,0.17206868983969334,1.8454007059551607,19.981526734910503,0.030060059941743267,0.0013814432165466775
average_clipped,Average the three individually clipped returns,sparse_chebyshev,9,3,7,2001,4998,10000998,31,500000,2,0.056242330756535765,0.05208375130065174,0.03987204705075225,0.022041072587033285,0.14204515117772853,4.184802286232965,0.030060059941743267,0.0013814432165466775
average_clipped,Average the three individually clipped returns,adaptive_blend,9,3,7,2001,4998,10000998,31,500000,2,0.06655228576170401,0.06379465854817028,0.05556519315717556,0.0156927530309078,0.09326068053188674,5.334349221752189,0.030060059941743267,0.0013814432165466775
worst_of,Clip the worst-performing underlying return,local_summary_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.2938565241236601,0.24775415848702484,0.1371658417052528,0.009304153584986848,0.055158738241121996,3.774402847083199,0.03190068573450208,0.0010452684927926567
worst_of,Clip the worst-performing underlying return,local_full_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.40835374804773217,0.36290335442299304,0.21975211535459077,0.034731985014858316,0.4033863379218494,8.308147231771674,0.03190068573450208,0.0010452684927926567
worst_of,Clip the worst-performing underlying return,sparse_chebyshev,9,3,7,2001,4998,10000998,31,500000,2,0.07331786123196743,0.06970845401227194,0.05659665045454107,0.012500494247828745,0.14480833367941948,4.45355299987836,0.03190068573450208,0.0010452684927926567
worst_of,Clip the worst-performing underlying return,adaptive_blend,9,3,7,2001,4998,10000998,31,500000,2,0.0818010756832746,0.08076988384487352,0.07337200591754783,0.012820012295195122,0.1510177086304627,6.097191105534068,0.03190068573450208,0.0010452684927926567
basket_return,Clip the equal-weight basket return,local_summary_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basket_return,Clip the equal-weight basket return,local_full_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basket_return,Clip the equal-weight basket return,sparse_chebyshev,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basket_return,Clip the equal-weight basket return,adaptive_blend,12,0,7,2001,4998,10000998,31,500000,2,1.6717116106477866e-16,1.6236983527204307e-16,1.438637538938156e-16,3.044159906230268e-17,4.440892098500626e-16,0.0,0.0,0.0
average_clipped,Average the three individually clipped returns,local_summary_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_clipped,Average the three individually clipped returns,local_full_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_clipped,Average the three individually clipped returns,sparse_chebyshev,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_clipped,Average the three individually clipped returns,adaptive_blend,12,0,7,2001,4998,10000998,31,500000,2,1.6717116106477866e-16,1.6236983527204307e-16,1.438637538938156e-16,3.044159906230268e-17,4.440892098500626e-16,0.0,0.0,0.0
worst_of,Clip the worst-performing underlying return,local_summary_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst_of,Clip the worst-performing underlying return,local_full_quadratic,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst_of,Clip the worst-performing underlying return,sparse_chebyshev,12,0,7,2001,4998,10000998,31,500000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst_of,Clip the worst-performing underlying return,adaptive_blend,12,0,7,2001,4998,10000998,31,500000,2,1.6717116106477866e-16,1.6236983527204307e-16,1.438637538938156e-16,3.044159906230268e-17,4.440892098500626e-16,0.0,0.0,0.0
