variant,month,validation_design,method,max_rel,p99_rel,meaningful_max_rel,mae
average_clipped,3,development,normal_moment_baseline,0.1291599486588575,0.12331618054334058,0.1291599486588575,0.3729724598541833
average_clipped,3,development,residual_hermite_2001,0.011559167194648577,0.01120376105296207,0.011559167194648577,0.016117751780241166
average_clipped,3,development,residual_hermite_5001,0.00713755073386631,0.006912392672711426,0.00713755073386631,0.010018013851942729
average_clipped,3,development,residual_local_5001,0.03357790792202158,0.03271607509968481,0.03357790792202158,0.05022822989946867
average_clipped,3,development,residual_nystrom_5001,0.014892654643071095,0.013730739568342084,0.014892654643071095,0.01829378820233939
average_clipped,3,development,direct_hermite_2001,0.011559089166214112,0.011540329445494045,0.011559089166214112,0.01773454216684169
average_clipped,3,development,direct_hermite_5001,0.0075050299085319605,0.00746176966767308,0.0075050299085319605,0.011793467759463062
average_clipped,3,development,direct_local_5001,1.2110513131736145,1.1349391728871487,1.2110513131736145,1.3054562747279241
average_clipped,3,development,direct_nystrom_5001,0.14374139412981982,0.13183196235435124,0.14374139412981982,0.1884143623988281
average_clipped,3,development,weighted_sparse_chebyshev_2001,0.014479806251020723,0.014138945658348332,0.014479806251020723,0.02288197229391526
average_clipped,3,development,weighted_sparse_chebyshev_5001,0.01084949403886648,0.010631480646585218,0.01084949403886648,0.016645061239224723
average_clipped,3,development,sparse_chebyshev_2001,0.014161427413217714,0.013815565388592802,0.014161427413217714,0.02218848076024968
average_clipped,3,development,residual_ensemble_5001,0.011193772768332324,0.011095627181797348,0.011193772768332324,0.020735992007885597
average_clipped,3,development,direct_ensemble_5001,0.3840269049191833,0.36059188853585594,0.3840269049191833,0.4215379231714079
average_clipped,3,independent,normal_moment_baseline,0.14603170002417126,0.14157022364539357,0.14603170002417126,0.34825116672837614
average_clipped,3,independent,residual_hermite_2001,0.012888470562091447,0.011613301046773817,0.012888470562091447,0.01065554909581868
average_clipped,3,independent,residual_hermite_5001,0.00822058672763704,0.007433517140935224,0.00822058672763704,0.008201329916719373
average_clipped,3,independent,residual_local_5001,0.03715751722123942,0.034769328131361465,0.03715751722123942,0.04819109141480592
average_clipped,3,independent,residual_nystrom_5001,0.013680434108830445,0.013311966810745169,0.013680434108830445,0.018304370936229757
average_clipped,3,independent,direct_hermite_2001,0.012825679470884368,0.011817708892332877,0.012825679470884368,0.012592108905043293
average_clipped,3,independent,direct_hermite_5001,0.0077872347479735855,0.0076298760422054196,0.0077872347479735855,0.008665310706218891
average_clipped,3,independent,direct_local_5001,1.2701743582578988,1.250151110703883,1.2701743582578988,1.4460148121784893
average_clipped,3,independent,direct_nystrom_5001,0.1376050246866461,0.1312185321733456,0.1376050246866461,0.1748126821933508
average_clipped,3,independent,weighted_sparse_chebyshev_2001,0.0363187177179862,0.0277149108354046,0.0363187177179862,0.01701305379494168
average_clipped,3,independent,weighted_sparse_chebyshev_5001,0.005172235145301833,0.00514378574718048,0.005172235145301833,0.010336896764177305
average_clipped,3,independent,sparse_chebyshev_2001,0.035067386596574,0.026705922078556234,0.035067386596574,0.01624631360292929
average_clipped,3,independent,residual_ensemble_5001,0.014428312184485289,0.013573040055109667,0.014428312184485289,0.01863929073625982
average_clipped,3,independent,direct_ensemble_5001,0.38560363338517645,0.37828011669212036,0.38560363338517645,0.4294760233628132
average_clipped,6,development,normal_moment_baseline,0.20574284911202248,0.1857553061687688,0.20574284911202248,0.1582998986711145
average_clipped,6,development,residual_hermite_2001,0.04846368136613647,0.04740276305854995,0.04846368136613647,0.020023856064954184
average_clipped,6,development,residual_hermite_5001,0.04122744219459259,0.03972058192668361,0.04122744219459259,0.019699689402146506
average_clipped,6,development,residual_local_5001,0.15393455744869855,0.14220466330598383,0.15393455744869855,0.030306673460825
average_clipped,6,development,residual_nystrom_5001,0.2115156369814778,0.19459741181713416,0.2115156369814778,0.02862150956742612
average_clipped,6,development,direct_hermite_2001,0.0492968654375912,0.04863776840680864,0.0492968654375912,0.023143037288077952
average_clipped,6,development,direct_hermite_5001,0.042727147025066234,0.042369678422509424,0.042727147025066234,0.02191978547003657
average_clipped,6,development,direct_local_5001,15.330815518029048,13.261579520561696,15.330815518029048,1.0412232282830252
average_clipped,6,development,direct_nystrom_5001,2.657896158219304,2.419219516874113,2.657896158219304,0.40502009463228966
average_clipped,6,development,weighted_sparse_chebyshev_2001,0.022464369925755442,0.02226190680234512,0.022464369925755442,0.006310584728568852
average_clipped,6,development,weighted_sparse_chebyshev_5001,0.02105442378199846,0.02088367157157506,0.02105442378199846,0.0053976331674903
average_clipped,6,development,sparse_chebyshev_2001,0.026848692743523486,0.02494807929972102,0.026848692743523486,0.010290634052450334
average_clipped,6,development,residual_ensemble_5001,0.12861671629510493,0.12001391141966455,0.12861671629510493,0.022532243957930083
average_clipped,6,development,direct_ensemble_5001,2.9851504866200087,2.6982364919589448,2.9851504866200087,0.32015890162561395
average_clipped,6,independent,normal_moment_baseline,0.16348716470654798,0.16271038953257833,0.16348716470654798,0.13792274901906695
average_clipped,6,independent,residual_hermite_2001,0.04457652645449499,0.043998259918700384,0.04457652645449499,0.016838847849454917
average_clipped,6,independent,residual_hermite_5001,0.043566656215762195,0.04215909021584325,0.043566656215762195,0.015359204219962064
average_clipped,6,independent,residual_local_5001,0.1271614610924395,0.12473028403765486,0.1271614610924395,0.028240066049900918
average_clipped,6,independent,residual_nystrom_5001,0.13882031230543618,0.13770367413548334,0.13882031230543618,0.032828477352387156
average_clipped,6,independent,direct_hermite_2001,0.0684533871629766,0.06152076999400052,0.0684533871629766,0.018770090564336015
average_clipped,6,independent,direct_hermite_5001,0.06223696291223622,0.055058489914391794,0.06223696291223622,0.017770026121944667
average_clipped,6,independent,direct_local_5001,20.272526231522573,19.681461080648134,20.272526231522573,0.9015170374935079
average_clipped,6,independent,direct_nystrom_5001,4.204489683886029,3.4793616737922717,4.204489683886029,0.30883042064794713
average_clipped,6,independent,weighted_sparse_chebyshev_2001,0.07111390586186467,0.06756427079344578,0.07111390586186467,0.006808530546639367
average_clipped,6,independent,weighted_sparse_chebyshev_5001,0.07364008359567945,0.05989414769148135,0.07364008359567945,0.006437557828972211
average_clipped,6,independent,sparse_chebyshev_2001,0.07502320791345403,0.07373587096995939,0.07502320791345403,0.012321313913711935
average_clipped,6,independent,residual_ensemble_5001,0.1023565923428143,0.0959574107709396,0.1023565923428143,0.02254884963413969
