option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,80.000000,0.400000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0025864205,0.0024923747,0.0028612168,0.0159074663
call,80.000000,0.400000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0035087928,0.0034719694,0.0179974881,0.1776260650
call,80.000000,0.400000,1.000000,0.200000,0.800000,log Chebyshev,"d1, degree=7",0.0022106494,0.0022073145,0.0150497621,0.2162095375
call,80.000000,0.400000,1.000000,0.200000,0.800000,log polynomial,"spot, degree=9",0.0321223995,0.0253989705,0.5498014179,6.0626171734
call,80.000000,0.400000,1.000000,0.400000,0.600000,log B-spline,"d1, knots=12",0.0034887873,0.0034703842,0.0239243533,0.1957360730
call,80.000000,0.400000,1.000000,0.400000,0.600000,log Chebyshev,"d1, degree=7",0.0018166000,0.0018145799,0.0167756278,0.1947407477
call,80.000000,0.400000,1.000000,0.400000,0.600000,log polynomial,"spot, degree=9",0.0141956345,0.0119387207,0.1865478126,2.1323580651
call,80.000000,0.400000,1.000000,0.600000,0.400000,log B-spline,"d1, knots=12",0.0097938503,0.0096984840,0.0110160509,0.0482361219
call,80.000000,0.400000,1.000000,0.600000,0.400000,log Chebyshev,"d1, degree=7",0.0045321079,0.0042251922,0.0123070975,0.0656051606
call,80.000000,0.400000,1.000000,0.600000,0.400000,log polynomial,"spot, degree=9",0.0047669313,0.0046026427,0.0239194922,0.2502737696
call,80.000000,0.400000,1.000000,0.800000,0.200000,log B-spline,"d1, knots=12",0.0028233229,0.0027947574,0.0040664224,0.0163685727
call,80.000000,0.400000,1.000000,0.800000,0.200000,log Chebyshev,"d1, degree=7",0.0022536154,0.0022466532,0.0033982324,0.0275335569
call,80.000000,0.400000,1.000000,0.800000,0.200000,log polynomial,"spot, degree=9",0.0025727644,0.0025672092,0.0043597167,0.0446776527
call,80.000000,0.400000,2.000000,0.400000,1.600000,log B-spline,"d1, knots=12",0.0031275912,0.0031017845,0.0389531238,0.2190436619
